sweep,family,N,alpha,t,j_star,w_small,model,n_repeats,wall_med_ms,wall_mean_ms,wall_cv,run_sample_med_ms,run_sample_mean_ms,run_sample_cv,run_count_med_ms,run_build_med_ms,phase3_fill_residual_med_ms,samples_per_sec_by_sample_med,ns_per_sample_by_sample_med
A_alpha_F1,F1,1000000,100.0,10000000,50000000,512,range_tree/adaptive,3,95272.9,95796.33333333333,0.009877477198358122,40133.80232,40114.094642000004,0.002758728586299189,53855.180725,1293.886282,38822.118068,249166.52352714332,4013.380232
A_alpha_F1,F1,1000000,100.0,10000000,50000000,512,kd_tree/sampling,3,20163.3,20288.766666666666,0.01120311143582005,13065.346411,13200.257097,0.01716481883687989,6890.592653,198.524218,nan,765383.456773927,1306.5346411
A_alpha_F1,F1,1000000,300.0,10000000,50000000,512,ours/enum_sampling,3,15403.1,15959.966666666667,0.051305755127988135,168.276361,168.478857,0.00578063318972375,12335.18664,1583.094945,nan,59426053.31238414,16.8276361
A_alpha_F1,F1,1000000,300.0,10000000,50000000,512,ours/sampling,3,14480.0,14301.699999999999,0.040938307502342175,5729.166889,6208.879443,0.11675192157606441,5278.71805,1593.773677,nan,1745454.4777182175,572.9166889
A_alpha_F1,F1,1000000,300.0,10000000,50000000,512,ours/adaptive,3,20227.9,19869.033333333333,0.02783708031895419,6047.328923,6046.587219333333,0.0013888390894564232,11306.900332,1562.06486,4567.074644,1653622.6369243253,604.7328923
A_alpha_F1,F1,1000000,300.0,10000000,50000000,512,range_tree/enum_sampling,3,107644.0,109030.66666666667,0.022554227458537766,170.50077,171.48124566666667,0.024897961792879977,107467.236787,0.00074,nan,58650761.51855502,17.050077
A_alpha_F1,F1,1000000,300.0,10000000,50000000,512,range_tree/sampling,3,85688.1,85890.16666666667,0.005149955837117113,45145.840817,45178.99454933333,0.0024286702412305472,39136.425071,1277.753285,nan,221504.34722293238,4514.5840817
A_alpha_F1,F1,1000000,300.0,10000000,50000000,512,range_tree/adaptive,3,101451.0,100999.63333333333,0.015975076895335,43691.954357,43770.19172733333,0.010585910850753975,55506.472369,1310.703333,42196.908468,228875.09032650708,4369.1954357
A_alpha_F1,F1,1000000,300.0,10000000,50000000,512,kd_tree/sampling,3,39615.5,39639.13333333333,0.006665548911301453,25463.544589,25544.066340666668,0.004856463257832405,13700.065902,198.948995,nan,392718.3022398186,2546.3544589
A_alpha_F1,F1,1000000,1000.0,10000000,50000000,512,ours/enum_sampling,3,29059.7,30951.733333333334,0.08845297369628327,229.042081,228.955645,0.0008244681256099037,25911.275057,1604.691601,nan,43660099.29852148,22.9042081
A_alpha_F1,F1,1000000,1000.0,10000000,50000000,512,ours/sampling,3,14049.1,13611.466666666667,0.045807615852491594,5988.416076,5990.044045000001,0.002005292176390742,5159.905068,1597.240834,nan,1669890.64772526,598.8416076
A_alpha_F1,F1,1000000,1000.0,10000000,50000000,512,ours/adaptive,3,51030.8,51116.23333333334,0.018146692994973332,6602.126708,6942.538765666666,0.07288368928111273,40672.281455,1398.384903,5089.997617,1514663.44744379,660.2126708
A_alpha_F1,F1,1000000,1000.0,10000000,50000000,512,range_tree/enum_sampling,3,208583.0,212090.33333333334,0.026364827706582862,230.687797,234.248989,0.031932373264288307,208338.124032,0.00046,nan,43348630.18350295,23.0687797
A_alpha_F1,F1,1000000,1000.0,10000000,50000000,512,range_tree/sampling,3,85550.5,85628.0,0.0030827313117391722,45403.229368,45354.43991266667,0.0020909412634517576,38852.391713,1294.91061,nan,220248.65057391615,4540.3229368
A_alpha_F1,F1,1000000,1000.0,10000000,50000000,512,range_tree/adaptive,3,151174.0,151934.33333333334,0.009584567515768583,44308.303508,44462.75075033333,0.007120218195976084,105471.714116,1339.454636,42946.268241,225691.33115634794,4430.8303508
A_alpha_F1,F1,1000000,1000.0,10000000,50000000,512,kd_tree/sampling,3,85969.7,86134.46666666666,0.003819791070450799,56012.675282,56170.19306733333,0.005583628182695677,29761.848607,195.123211,nan,178531.01908905891,5601.2675282
B_N_F0,F0,100000,200.0,10000000,50000000,512,ours/enum_sampling,3,1054.07,1126.11,0.09118745187373958,151.185633,149.69845633333333,0.015441722218148077,733.611504,131.211297,nan,66143851.11580014,15.1185633
B_N_F0,F0,100000,200.0,10000000,50000000,512,ours/sampling,3,1301.24,1297.2733333333333,0.011849023534715444,842.744804,838.6766793333334,0.0076292959268105445,299.945377,131.931725,nan,11865988.318807837,84.2744804
B_N_F0,F0,100000,200.0,10000000,50000000,512,ours/adaptive,3,1713.03,1737.8366666666666,0.02489665487623074,1117.029505,1120.8870626666667,0.00710940769701095,408.984898,134.740416,nan,8952315.006218212,111.7029505
B_N_F0,F0,100000,200.0,10000000,50000000,512,range_tree/enum_sampling,3,3608.78,3708.2766666666666,0.03938929454321145,144.695907,145.59523099999998,0.011929034833288742,3460.752047,0.00053,nan,69110455.21142487,14.4695907
B_N_F0,F0,100000,200.0,10000000,50000000,512,range_tree/sampling,3,4284.82,4294.5599999999995,0.0036421952627687672,3087.522226,3092.378153333333,0.0023880663091151153,1103.785266,93.56705,nan,3238843.0812870204,308.7522226
B_N_F0,F0,100000,200.0,10000000,50000000,512,range_tree/adaptive,3,4495.92,4552.72,0.01884287754481455,1063.264011,1062.2653023333332,0.004252840019812393,3334.344125,94.171344,nan,9405001.85894094,106.3264011
B_N_F0,F0,100000,200.0,10000000,50000000,512,kd_tree/sampling,3,1823.58,1819.03,0.004350457520928636,1594.879784,1589.6164853333332,0.004944217788397726,212.665961,16.721732,nan,6270065.05463361,159.4879784
B_N_F0,F0,200000,200.0,10000000,50000000,512,ours/enum_sampling,3,2242.11,2345.6600000000003,0.06710530424618591,150.698022,150.567758,0.0013422811209157775,1668.176392,252.199466,nan,66357871.63815594,15.0698022
B_N_F0,F0,200000,200.0,10000000,50000000,512,ours/sampling,3,2430.38,2384.4266666666667,0.02878983046302095,1283.084947,1284.1322223333334,0.001563842128341249,732.890141,249.908434,nan,7793716.248780837,128.3084947
B_N_F0,F0,200000,200.0,10000000,50000000,512,ours/adaptive,3,3186.93,3185.66,0.0008249756188523607,1887.880745,1884.2458,0.0028464824468562313,882.084977,253.070816,678.52184,5296944.7495477265,188.7880745
B_N_F0,F0,200000,200.0,10000000,50000000,512,range_tree/enum_sampling,3,8769.11,8942.376666666667,0.031074778957862422,151.009728,151.260682,0.012482557260094387,8615.420059,0.0006,nan,66220899.358218834,15.1009728
B_N_F0,F0,200000,200.0,10000000,50000000,512,range_tree/sampling,3,8877.74,8904.65,0.016874002524208703,5503.044203,5519.7713,0.006393199727090057,3107.338987,204.478637,nan,1817176.0267795906,550.3044203
B_N_F0,F0,200000,200.0,10000000,50000000,512,range_tree/adaptive,3,10575.0,11047.866666666667,0.06263522619697068,4082.486195,4289.092727666667,0.06894588901568803,6276.834898,209.860634,2972.778747,2449487.768567947,408.2486195
B_N_F0,F0,200000,200.0,10000000,50000000,512,kd_tree/sampling,3,2529.4,2533.2200000000003,0.00462414531936872,2064.121832,2068.7681786666667,0.0057901914353748335,429.634814,34.881619,nan,4844675.273024292,206.4121832
B_N_F0,F0,500000,200.0,10000000,50000000,512,ours/enum_sampling,3,6167.45,6243.256666666667,0.018690070567773377,149.951276,150.151519,0.00659530103385392,4699.603552,724.25714,nan,66688328.81422096,14.9951276
B_N_F0,F0,500000,200.0,10000000,50000000,512,ours/sampling,3,6433.75,6524.246666666667,0.09331477626592148,2906.627234,2910.5034183333332,0.0038410908467311836,2221.311506,724.38584,nan,3440413.6461070534,290.6627234
B_N_F0,F0,500000,200.0,10000000,50000000,512,ours/adaptive,3,7175.29,7016.166666666667,0.033186435247768674,3485.117804,3486.106695666667,0.00109827356732049,2390.810018,733.602173,2141.936278,2869343.466244563,348.5117804
B_N_F0,F0,500000,200.0,10000000,50000000,512,range_tree/enum_sampling,3,29797.0,29959.333333333332,0.022982896774246232,157.671219,163.394024,0.06951630633044807,29617.733278,0.00066,nan,63423115.920731224,15.7671219
B_N_F0,F0,500000,200.0,10000000,50000000,512,range_tree/sampling,3,26810.0,27018.566666666666,0.013474235905342002,15057.085611,15137.195727333334,0.008736200170523435,11221.868929,531.038723,nan,664139.1473987814,1505.7085611
B_N_F0,F0,500000,200.0,10000000,50000000,512,range_tree/adaptive,3,30383.8,30491.7,0.00926009930162405,13843.394721,14119.200314,0.028955883487528967,15718.73103,553.038947,12624.011464,722366.1682369217,1384.3394721
B_N_F0,F0,500000,200.0,10000000,50000000,512,kd_tree/sampling,3,4803.03,4808.316666666667,0.0035386816153192375,3471.32135,3473.871059666667,0.004891255444254721,1242.159819,94.015106,nan,2880747.4133732966,347.132135
B_N_F0,F0,1000000,200.0,10000000,50000000,512,ours/enum_sampling,3,13633.5,15147.6,0.16040940103211057,186.46931,522.1499966666667,0.9378353388023206,11966.283154,1584.982365,nan,53628127.86726137,18.646931
B_N_F0,F0,1000000,200.0,10000000,50000000,512,ours/sampling,3,13397.6,13849.566666666668,0.12326906163347028,5584.524979,5730.129857666667,0.03801654777344692,4898.036612,1643.425608,nan,1790662.5966584294,558.4524979
B_N_F0,F0,1000000,200.0,10000000,50000000,512,ours/adaptive,3,13909.5,13524.633333333333,0.04323685532108694,5983.941918,5988.5805316666665,0.0050138829611315215,5045.922893,1613.304202,4549.89817,1671139.215091559,598.3941918
B_N_F0,F0,1000000,200.0,10000000,50000000,512,range_tree/enum_sampling,3,74968.4,75882.83333333333,0.018452753984544077,161.075772,162.99150366666666,0.01853313097362957,74801.104714,0.00064,nan,62082583.096357904,16.1075772
B_N_F0,F0,1000000,200.0,10000000,50000000,512,range_tree/sampling,3,66683.3,66966.23333333334,0.011071941984591133,35751.363899,35958.38467233333,0.018488349477882568,29818.294183,1133.45598,nan,279709.60851313727,3575.1363899
B_N_F0,F0,1000000,200.0,10000000,50000000,512,range_tree/adaptive,3,69495.1,69696.13333333333,0.006248417595888502,33328.716125,33310.69779133333,0.002095969259362724,34979.008245,1142.522626,32020.510504,300041.56063182285,3332.8716125
B_N_F0,F0,1000000,200.0,10000000,50000000,512,kd_tree/sampling,3,10396.7,10387.933333333334,0.0013319554819672661,7118.343025,7116.211091,0.0008923236894767088,3076.900199,195.861782,nan,1404821.3137354392,711.8343025
B_N_F0,F0,2000000,200.0,10000000,50000000,512,ours/enum_sampling,3,29018.5,29204.4,0.009125908378620155,175.925867,181.679714,0.04592425627345007,22677.684496,3532.9319,nan,56842124.30227784,17.5925867
B_N_F0,F0,2000000,200.0,10000000,50000000,512,ours/sampling,3,27080.7,26175.333333333332,0.05028597586771988,10481.435833,10467.357376333333,0.0021780810572115503,10512.461035,3545.207397,nan,954067.7593537103,1048.1435833
B_N_F0,F0,2000000,200.0,10000000,50000000,512,ours/adaptive,3,29979.1,29815.033333333333,0.11613000361015655,11729.451126,12314.482269666667,0.1012705649960013,11584.178505,3600.458486,10064.060338,852554.8120349447,1172.9451126
B_N_F0,F0,2000000,200.0,10000000,50000000,512,range_tree/enum_sampling,3,192446.0,196385.33333333334,0.03251415088448,207.709555,1177.8105186666667,1.1651900172492218,192238.812056,0.0008,nan,48144150.13310293,20.7709555
B_N_F0,F0,2000000,200.0,10000000,50000000,512,range_tree/sampling,3,160714.0,161282.33333333334,0.005536019790504571,82157.99596,82280.567599,0.0031507735571509195,76110.36596,2445.793368,nan,121716.69821241341,8215.799596
B_N_F0,F0,2000000,200.0,10000000,50000000,512,range_tree/adaptive,3,170644.0,171212.33333333334,0.009099434759732352,82372.583106,82058.876246,0.006438922424926831,85869.972622,2509.925986,80886.857074,121399.61650992102,8237.2583106
B_N_F0,F0,2000000,200.0,10000000,50000000,512,kd_tree/sampling,3,23077.6,23047.7,0.0019586751869895597,14835.590108,14815.481563,0.0020718694496763153,7834.049746,404.804586,nan,674054.7512570843,1483.5590108
B_N_F0,F0,5000000,200.0,10000000,50000000,512,ours/enum_sampling,3,82208.0,82388.5,0.006591167400093231,226.582362,226.63607366666668,0.002342225291929362,65828.026166,10382.108402,nan,44134061.94432734,22.6582362
